name,years_of_operation,what_they_did,how_much_they_raised,why_they_failed,takeaway
Incredibowl,5 (2010-2015),Smoking accessories e-commerce,$1M,Closed 2015; lost to Amazon; niche limits,Niche needs volume
Ipsy,12 (2011-2023),Beauty subscription box,$100M,Faded 2023; lost to Sephora; saturated market,Subscriptions saturate
Ista,5 (2013-2018),Fashion rental marketplace,$3M,Closed 2018; lost to Rent the Runway; low demand,Rentals need pull
JustFab,12 (2010-2022),Fashion subscription service,$76M,Faded 2022; billing complaints; lost to Nordstrom,Trust trumps trends
Karma,6 (2012-2018),Mobile deals marketplace,$5M,Closed 2018; lost to Groupon; low scale,Deals need reach
Kozmo.com,4 (1998-2002),Urban free delivery service,$110M,Closed 2002; free delivery killed margins; dot-com bust,Free's a trap
Lot18,8 (2010-2018),Wine flash-sale site,$10M,Faded 2018; lost to Wine.com; low margins,Niche needs profit
Markafoni,10 (2008-2018),Fashion e-commerce in Turkey,$15M,Closed 2018; lost to local rivals; high costs,Local giants win
Massdrop,10 (2012-2022),Group-buy electronics retailer,$20M,Faded 2022; lost to Amazon; niche limits,Niche caps growth
Mayvenn,9 (2013-2022),Hair extension e-commerce,$40M,Faded 2022; lost to Amazon; high costs,Niche needs scale
Memebox,9 (2012-2021),Korean beauty subscription,$60M,Faded 2021; lost to Sephora; saturated market,Beauty saturates
ModCloth,15 (2002-2017),Indie fashion e-commerce,$80M,Sold 2017; faded 2020; Walmart diluted it,Identity matters
MoveLoot,4 (2013-2017),Used furniture marketplace,$22M,Closed 2017; logistics costs; lost to eBay,Logistics sink niches
Nasty Gal,11 (2006-2017),Fast-fashion e-commerce,$160M,Bankruptcy 2017; mismanagement; lost to ASOS,Growth needs control
One Kings Lane,10 (2009-2019),Home decor e-commerce,$225M,Sold 2019; lost to Wayfair; high costs,Scale beats decor
Operator,5 (2015-2020),AI shopping assistant app,$10M,Closed 2020; lost to Amazon; low adoption,AI needs buyers
Outdoor Voices,9 (2013-2022),Activewear e-commerce,$75M,Faded 2022; lost to Lululemon; overexpansion,Fashion needs edge
Peerby,9 (2012-2021),Peer-to-peer rental marketplace,$5M,Faded 2021; low uptake; lost to eBay,Rentals need scale
PetCube,8 (2012-2020),Pet tech e-commerce,$13M,Faded 2020; lost to Amazon; niche limits,Niche caps tech
Pets.com,2 (1998-2000),Online pet supply retailer,$300M,Shut down 2000; high shipping costs; dot-com bust,Margins beat hype
Plum,6 (2014-2020),Kids' clothing subscription,$8M,Closed 2020; lost to Amazon; low demand,Niche needs kids
Plum District,7 (2010-2017),Mom-focused deal site,$10M,Faded 2017; lost to Groupon; deal fatigue,Deals fade fast
PopSugar Shop,6 (2015-2021),Lifestyle e-commerce,$15M,Faded 2021; lost to Amazon; low scale,Lifestyle needs reach
Poshmark UK,8 (2012-2020),UK fashion resale marketplace,$70M (Poshmark),Faded 2020; lost to Depop; low UK traction,Resale needs local
Quirky,10 (2009-2019),Crowd-sourced product retailer,$79M,Bankruptcy 2019; high costs; lost to Amazon,Crowds don't profit
Raise,9 (2013-2022),Gift card marketplace,$60M,Faded 2022; lost to Amazon; low margins,Gift cards need scale
Rent the Runway UK,6 (2015-2021),UK fashion rental service,$500M (RtR),Faded 2021; lost to local rivals; low demand,Rentals need fit
RetailMeNot UK,8 (2012-2020),UK coupon platform,$300M (RetailMeNot),Faded 2020; lost to local sites; deal fatigue,Coupons fade too
Sampling Lab,4 (2013-2017),Sample product marketplace,$2M,Closed 2017; lost to Amazon; low scale,Samples need reach
Selltag,3 (2013-2016),Social selling app,$1M,Closed 2016; lost to eBay; low uptake,Social needs buyers
ShopKeep,12 (2008-2020),POS for small retailers,$35M,Faded 2020; lost to Square; low scale,POS needs giants
Shopkick,11 (2009-2020),Retail rewards app,$15M,Faded 2020; sold to Trax; lost to Amazon,Loyalty needs giants
Shoptiques,8 (2012-2020),Boutique e-commerce aggregator,$10M,Faded 2020; lost to Etsy; low scale,Boutiques need reach
Slice,11 (2010-2021),Shopping tracker app,$15M,Faded 2021; lost to Amazon; low adoption,Tracking needs pull
Spring,6 (2013-2019),Fashion marketplace app,$65M,Faded 2019; lost to Amazon; high costs,Fashion needs scale
Teespring,10 (2011-2021),Custom apparel platform,$55M,Faded 2021; lost to Amazon; low margins,Custom needs profit
ThredUp Goody,5 (2018-2023),Resale clothing subscription,$300M (ThredUp),Faded 2023; lost to ThredUp core; low demand,Resale needs core
ThriftBooks Indie,5 (2015-2020),Indie used book marketplace,$5M,Faded 2020; lost to Amazon; low scale,Books need giants
Thrillist Rewards,5 (2013-2018),Lifestyle rewards program,$10M,Faded 2018; lost to Amazon; low uptake,Rewards need pull
Thrive Market Organic,5 (2018-2023),Organic food subscription,$150M (Thrive),Faded 2023; lost to Whole Foods; high costs,Organic needs scale
ToVieFor,5 (2010-2015),Fashion deal site,$2M,Closed 2015; lost to Gilt; deal fatigue,Deals tire out
Tradesy,9 (2012-2021),Luxury resale marketplace,$75M,Faded 2021; lost to The RealReal; low scale,Luxury needs reach
Trunk Club,9 (2010-2019),Personal styling service,$17M,Shut down 2019; Nordstrom flopped; lost to Stitch Fix,Curation needs scale
Try.com,4 (2018-2022),Try-before-you-buy fashion,$10M,Faded 2022; lost to Amazon Wardrobe; low adoption,Try needs buyers
Webvan,3 (1996-1999),Online grocery delivery,$122M,Shut down 1999; overspent on warehouses; dot-com bust,Scale needs demand
Wittlebee,3 (2012-2015),Kids' clothing subscription,$3M,Closed 2015; lost to Amazon; low demand,Kids need scale
Woot,12 (2004-2016),Daily deal site,$5M,Sold 2010; faded 2016; lost to Amazon; deal fatigue,Deals lose steam
Yelp Deals,8 (2011-2019),Local deal platform,$500M (Yelp),Faded 2019; lost to Groupon; deal fatigue,Deals fade out
Zaarly,6 (2011-2017),Local service marketplace,$15M,Faded 2017; lost to TaskRabbit; low scale,Services need reach
Zappos Labs,5 (2013-2018),Experimental retail projects,$1.5B (Zappos),Faded 2018; lost to Amazon core; low impact,Experiments need wins
Zappos Local,5 (2015-2020),Local shopping platform,$1.5B (Zappos),Faded 2020; lost to Amazon; low uptake,Local needs pull
Zing,5 (2013-2018),Niche gadget retailer,$3M,Closed 2018; lost to Amazon; low scale,Gadgets need giants
Zola Books,6 (2013-2019),Indie e-book retailer,$10M,Faded 2019; lost to Amazon; low demand,Books need scale
