Name,Sector,Years of Operation,What They Did,How Much They Raised,Why They Failed,Takeaway,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype
Fancy,Retail Trade,9 (2010-2019),Social e-commerce platform,$80M,Faded 2019; low conversion; lost to Amazon,Curation needs cash flow,1,0,0,0,0,0,1,0,0,0,0,0,0
Fashism,Retail Trade,5 (2009-2014),Fashion advice app,$5M,Closed 2014; low engagement; lost to Instagram,Social needs stickiness,1,0,0,1,0,0,0,1,0,0,0,0,0
Fiksu,Retail Trade,10 (2008-2018),Mobile marketing for retail apps,$17M,Faded 2018; lost to Google/Facebook ads,Giants own ads,1,1,0,0,0,0,1,0,0,0,0,0,0
Fobo,Retail Trade,4 (2013-2017),Local food surplus marketplace,$2M,Closed 2017; low adoption; lost to DoorDash,Supply needs demand,1,0,1,1,0,0,0,0,0,0,0,0,0
Gilt Taste,Retail Trade,5 (2011-2016),Gourmet food e-commerce,$250M (Gilt),Shut down 2016; high costs; sold off,Luxury needs volume,0,0,0,0,1,0,1,1,0,0,0,0,0
Goldbely,Retail Trade,7 (2012-2019),Gourmet food delivery service,$33M,Sold 2019; shipping costs; lost to DoorDash,Logistics eat profits,1,0,1,0,0,0,1,0,0,0,0,0,0
Good Eggs,Retail Trade,11 (2011-2022),Online grocery delivery,$200M,Scaled back 2022; high costs; lost to Amazon Fresh,Freshness costs,1,0,1,0,0,0,0,0,1,0,0,0,0
Graze,Retail Trade,11 (2008-2019),Snack subscription box,$10M,Sold 2019; faded 2020; lost to Amazon,Subscriptions need stickiness,1,0,0,0,1,0,0,0,0,0,0,0,0
Groupon Now,Retail Trade,4 (2011-2015),Real-time deal app,$950M (Groupon),Phased out 2015; low need; lost to Yelp,Timing trumps deals,1,0,1,0,0,0,0,0,0,1,0,0,0
Havenly,Retail Trade,9 (2014-2023),Online interior design service,$85M,Startup phase "shut down" 2023; lost to Wayfair,Scale beats service,1,0,1,0,0,0,0,0,0,0,0,0,0
Heyday,Retail Trade,5 (2018-2023),Skincare e-commerce and spas,$25M,Closed 2023; lost to Sephora; high costs,Personalization's pricey,1,0,1,0,0,0,0,0,1,0,0,0,0
HobbyDB,Retail Trade,8 (2014-2022),Collectibles marketplace,$8M,Faded 2022; too niche; lost to eBay,Niche needs traffic,1,0,0,0,0,0,0,1,0,0,0,0,0
Homejoy,Retail Trade,4 (2012-2016),On-demand cleaning service,$40M,Shut down 2016; legal issues; lost to Handy,Service needs trust,0,0,1,0,0,0,0,0,1,0,1,1,0
Hush,Retail Trade,4 (2016-2020),Sleep products e-commerce,$5M,Closed 2020; lost to Casper; low scale,Niche needs edge,0,0,1,0,0,0,0,1,0,0,0,0,0
Ibotta,Retail Trade,11 (2011-2022),Cashback rewards app,$13M,Faded 2022; lost to Rakuten; low retailer uptake,Loyalty needs scale,0,0,1,0,0,0,0,0,0,0,0,0,0
Imercive,Retail Trade,5 (2010-2015),Interactive shopping platform,$2M,Closed 2015; lost to Amazon; low adoption,Innovation needs buyers,1,1,0,1,0,0,0,0,0,0,0,0,0
Incredibowl,Retail Trade,5 (2010-2015),Smoking accessories e-commerce,$1M,Closed 2015; lost to Amazon; niche limits,Niche needs volume,1,0,0,0,0,0,0,1,0,0,0,0,0
Ipsy,Retail Trade,12 (2011-2023),Beauty subscription box,$100M,Faded 2023; lost to Sephora; saturated market,Subscriptions saturate,1,0,1,0,0,0,0,0,0,0,0,0,0
Ista,Retail Trade,5 (2013-2018),Fashion rental marketplace,$3M,Closed 2018; lost to Rent the Runway; low demand,Rentals need pull,0,0,1,1,0,0,0,0,0,0,0,0,0
JustFab,Retail Trade,12 (2010-2022),Fashion subscription service,$76M,Faded 2022; billing complaints; lost to Nordstrom,Trust trumps trends,1,0,1,0,0,0,0,0,0,0,1,0,0
Karma,Retail Trade,6 (2012-2018),Mobile deals marketplace,$5M,Closed 2018; lost to Groupon; low scale,Deals need reach,0,0,1,0,0,0,0,1,0,0,0,0,0
Kozmo.com,Retail Trade,4 (1998-2002),Urban free delivery service,$110M,Closed 2002; free delivery killed margins; dot-com bust,Free's a trap,1,1,0,0,0,0,1,0,0,1,0,0,1
Lot18,Retail Trade,8 (2010-2018),Wine flash-sale site,$10M,Faded 2018; lost to Wine.com; low margins,Niche needs profit,0,0,1,0,0,0,1,1,0,0,0,0,0
Markafoni,Retail Trade,10 (2008-2018),Fashion e-commerce in Turkey,$15M,Closed 2018; lost to local rivals; high costs,Local giants win,0,0,1,0,0,0,0,0,1,0,0,0,0
Massdrop,Retail Trade,10 (2012-2022),Group-buy electronics retailer,$20M,Faded 2022; lost to Amazon; niche limits,Niche caps growth,1,0,0,0,0,0,0,1,0,0,0,0,0
Mayvenn,Retail Trade,9 (2013-2022),Hair extension e-commerce,$40M,Faded 2022; lost to Amazon; high costs,Niche needs scale,1,0,0,0,0,0,0,1,1,0,0,0,0
Memebox,Retail Trade,9 (2012-2021),Korean beauty subscription,$60M,Faded 2021; lost to Sephora; saturated market,Beauty saturates,1,0,1,0,0,0,0,0,0,0,0,0,0
ModCloth,Retail Trade,15 (2002-2017),Indie fashion e-commerce,$80M,Sold 2017; faded 2020; Walmart diluted it,Identity matters,1,0,0,0,1,0,0,0,1,0,0,0,0
MoveLoot,Retail Trade,4 (2013-2017),Used furniture marketplace,$22M,Closed 2017; logistics costs; lost to eBay,Logistics sink niches,1,1,0,0,0,0,1,1,0,0,0,0,0
Nasty Gal,Retail Trade,11 (2006-2017),Fast-fashion e-commerce,$160M,Bankruptcy 2017; mismanagement; lost to ASOS,Growth needs control,0,0,1,0,0,0,0,0,1,0,1,0,0
One Kings Lane,Retail Trade,10 (2009-2019),Home decor e-commerce,$225M,Sold 2019; lost to Wayfair; high costs,Scale beats decor,1,0,1,0,0,0,0,0,1,0,0,0,0
Operator,Retail Trade,5 (2015-2020),AI shopping assistant app,$10M,Closed 2020; lost to Amazon; low adoption,AI needs buyers,1,0,0,1,0,0,0,0,0,0,0,0,0
Outdoor Voices,Retail Trade,9 (2013-2022),Activewear e-commerce,$75M,Faded 2022; lost to Lululemon; overexpansion,Fashion needs edge,0,0,1,0,0,0,0,0,1,0,0,0,0
Peerby,Retail Trade,9 (2012-2021),Peer-to-peer rental marketplace,$5M,Faded 2021; low uptake; lost to eBay,Rentals need scale,1,0,0,1,0,0,0,0,0,0,0,0,0
PetCube,Retail Trade,8 (2012-2020),Pet tech e-commerce,$13M,Faded 2020; lost to Amazon; niche limits,Niche caps tech,1,0,0,0,0,0,0,1,0,0,0,0,0
Pets.com,Retail Trade,2 (1998-2000),Online pet supply retailer,$300M,Shut down 2000; high shipping costs; dot-com bust,Margins beat hype,1,1,0,0,0,0,1,0,0,1,0,0,1
Plum,Retail Trade,6 (2014-2020),Kids' clothing subscription,$8M,Closed 2020; lost to Amazon; low demand,Niche needs kids,1,0,0,1,0,0,0,1,0,0,0,0,0
Plum District,Retail Trade,7 (2010-2017),Mom-focused deal site,$10M,Faded 2017; lost to Groupon; deal fatigue,Deals fade fast,0,0,1,0,0,0,0,0,0,1,0,0,0
PopSugar Shop,Retail Trade,6 (2015-2021),Lifestyle e-commerce,$15M,Faded 2021; lost to Amazon; low scale,Lifestyle needs reach,1,0,0,0,0,0,0,1,0,0,0,0,0
Poshmark UK,Retail Trade,8 (2012-2020),UK fashion resale marketplace,$70M (Poshmark),Faded 2020; lost to Depop; low UK traction,Resale needs local,0,0,1,0,0,0,0,0,0,0,0,0,0
Quirky,Retail Trade,10 (2009-2019),Crowd-sourced product retailer,$79M,Bankruptcy 2019; high costs; lost to Amazon,Crowds don't profit,1,0,0,0,0,0,0,0,1,1,0,0,1
Raise,Retail Trade,9 (2013-2022),Gift card marketplace,$60M,Faded 2022; lost to Amazon; low margins,Gift cards need scale,1,0,0,0,0,0,1,0,0,0,0,0,0
Rent the Runway UK,Retail Trade,6 (2015-2021),UK fashion rental service,$500M (RtR),Faded 2021; lost to local rivals; low demand,Rentals need fit,0,0,1,1,0,0,0,0,0,0,0,0,0
RetailMeNot UK,Retail Trade,8 (2012-2020),UK coupon platform,$300M (RetailMeNot),Faded 2020; lost to local sites; deal fatigue,Coupons fade too,0,0,1,0,0,0,0,0,0,1,0,0,0
Sampling Lab,Retail Trade,4 (2013-2017),Sample product marketplace,$2M,Closed 2017; lost to Amazon; low scale,Samples need reach,1,0,0,0,0,0,0,1,0,0,0,0,0
Selltag,Retail Trade,3 (2013-2016),Social selling app,$1M,Closed 2016; lost to eBay; low uptake,Social needs buyers,1,0,0,1,0,0,0,0,0,0,0,0,0
ShopKeep,Retail Trade,12 (2008-2020),POS for small retailers,$35M,Faded 2020; lost to Square; low scale,POS needs giants,0,0,1,0,0,0,0,0,0,0,0,0,0
Shopkick,Retail Trade,11 (2009-2020),Retail rewards app,$15M,Faded 2020; sold to Trax; lost to Amazon,Loyalty needs giants,1,1,0,0,1,1,0,0,0,0,0,0,0
Shoptiques,Retail Trade,8 (2012-2020),Boutique e-commerce aggregator,$10M,Faded 2020; lost to Etsy; low scale,Boutiques need reach,1,0,0,0,0,0,0,1,0,0,0,0,0
Slice,Retail Trade,11 (2010-2021),Shopping tracker app,$15M,Faded 2021; lost to Amazon; low adoption,Tracking needs pull,1,0,0,1,0,0,0,0,0,0,0,0,0
Spring,Retail Trade,6 (2013-2019),Fashion marketplace app,$65M,Faded 2019; lost to Amazon; high costs,Fashion needs scale,1,0,0,0,0,0,0,0,1,0,0,0,0
Teespring,Retail Trade,10 (2011-2021),Custom apparel platform,$55M,Faded 2021; lost to Amazon; low margins,Custom needs profit,1,0,0,0,0,0,1,0,0,0,0,0,0
ThredUp Goody,Retail Trade,5 (2018-2023),Resale clothing subscription,$300M (ThredUp),Faded 2023; lost to ThredUp core; low demand,Resale needs core,0,0,1,1,0,0,0,0,0,0,0,0,0
ThriftBooks Indie,Retail Trade,5 (2015-2020),Indie used book marketplace,$5M,Faded 2020; lost to Amazon; low scale,Books need giants,1,0,0,0,0,0,0,1,0,0,0,0,0
Thrillist Rewards,Retail Trade,5 (2013-2018),Lifestyle rewards program,$10M,Faded 2018; lost to Amazon; low uptake,Rewards need pull,1,0,0,1,0,0,0,0,0,0,0,0,0
Thrive Market Organic,Retail Trade,5 (2018-2023),Organic food subscription,$150M (Thrive),Faded 2023; lost to Whole Foods; high costs,Organic needs scale,1,0,1,0,0,0,0,0,1,0,0,0,0
ToVieFor,Retail Trade,5 (2010-2015),Fashion deal site,$2M,Closed 2015; lost to Gilt; deal fatigue,Deals tire out,0,0,1,0,0,0,0,0,0,1,0,0,0
Tradesy,Retail Trade,9 (2012-2021),Luxury resale marketplace,$75M,Faded 2021; lost to The RealReal; low scale,Luxury needs reach,0,0,1,0,0,0,0,1,0,0,0,0,0
Trunk Club,Retail Trade,9 (2010-2019),Personal styling service,$17M,Shut down 2019; Nordstrom flopped; lost to Stitch Fix,Curation needs scale,1,0,1,0,1,0,0,0,0,0,0,0,0
Try.com,Retail Trade,4 (2018-2022),Try-before-you-buy fashion,$10M,Faded 2022; lost to Amazon Wardrobe; low adoption,Try needs buyers,1,0,0,1,0,0,0,0,0,0,0,0,0
Webvan,Retail Trade,3 (1996-1999),Online grocery delivery,$122M,Shut down 1999; overspent on warehouses; dot-com bust,Scale needs demand,1,1,0,0,0,0,1,0,1,1,0,0,1
Wittlebee,Retail Trade,3 (2012-2015),Kids' clothing subscription,$3M,Closed 2015; lost to Amazon; low demand,Kids need scale,1,0,0,1,0,0,0,1,0,0,0,0,0
Woot,Retail Trade,12 (2004-2016),Daily deal site,$5M,Sold 2010; faded 2016; lost to Amazon; deal fatigue,Deals lose steam,1,0,0,0,1,0,0,0,0,1,0,0,0
Yelp Deals,Retail Trade,8 (2011-2019),Local deal platform,$500M (Yelp),Faded 2019; lost to Groupon; deal fatigue,Deals fade out,0,0,1,0,0,0,0,0,0,1,0,0,0
Zaarly,Retail Trade,6 (2011-2017),Local service marketplace,$15M,Faded 2017; lost to TaskRabbit; low scale,Services need reach,0,0,1,0,0,0,0,1,0,0,0,0,0
Zappos Labs,Retail Trade,5 (2013-2018),Experimental retail projects,$1.5B (Zappos),Faded 2018; lost to Amazon core; low impact,Experiments need wins,1,0,0,0,0,0,0,0,0,0,0,0,0
Zappos Local,Retail Trade,5 (2015-2020),Local shopping platform,$1.5B (Zappos),Faded 2020; lost to Amazon; low uptake,Local needs pull,1,0,0,1,0,0,0,0,0,0,0,0,0
Zing,Retail Trade,5 (2013-2018),Niche gadget retailer,$3M,Closed 2018; lost to Amazon; low scale,Gadgets need giants,1,0,0,0,0,0,0,1,0,0,0,0,0
Zola Books,Retail Trade,6 (2013-2019),Indie e-book retailer,$10M,Faded 2019; lost to Amazon; low demand,Books need scale,1,0,0,0,0,0,0,1,0,0,0,0,0
