Name,Sector,Years of Operation,What They Did,How Much They Raised,Why They Failed,Takeaway,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype
Health IQ,Health Care,2014-2023,Health-based insurance,$136M,Risk models and scrutiny,Math and compliance matter,0,0,0,0,0,0,0,0,1,0,1,1,0
HealthRiser,Health Care,2015-2019,Posture wearable,$8M,Lost to Fitbit and costs,Mass appeal needed,1,1,1,0,0,0,0,1,0,0,0,0,0
HealthSpot,Health Care,2012-2016,Telemedicine kiosks,$43M,Lost to software rivals,Flexibility beats rigidity,1,1,1,0,0,0,0,0,0,0,0,0,0
HealthTap+,Health Care,2010-2017,Subscription telemedicine,$88M,Low retention and pivot,Sticky engagement needed,1,0,1,1,0,0,0,0,0,0,0,0,0
HealthifyMe,Health Care,2011-2018,Fitness app (early),$125M,Slow retention and pivot,Evolve or lose,1,0,1,1,0,0,0,0,0,0,0,0,0
InTouch Health,Health Care,2002-2020,Telemedicine robots,$78M,Scalability issues and sold,Plan for acquisition,1,0,1,0,1,0,0,0,0,0,0,0,0
iRhythm,Health Care,2006-2015,Heart monitoring patch,$150M,Reimbursement woes early,Payer alignment is key,0,0,0,1,0,0,1,0,1,0,0,0,0
Jawbone,Health Care,2006-2017,Fitness trackers,$930M,Competition and quality issues,Differentiate or die,1,0,1,0,0,0,0,0,1,0,0,0,0
Kaiku Health,Health Care,2012-2020,Cancer symptom tracking,$6M,Slow adoption and acquired,Traction matters,0,0,0,1,1,0,0,0,0,0,0,0,0
Kyruus,Health Care,2010-2015,Doctor matching (early),$153M,Lack of traction and pivot,Validate demand early,0,0,0,1,0,0,0,0,0,0,0,0,0
Lantern,Health Care,2012-2018,Digital mental health,$21M,Slow adoption and misjudgment,Plan for long cycles,0,0,0,1,0,0,1,0,0,0,0,0,1
Lantern Pharma,Health Care,2013-2018,AI drug repurposing,$26M,Slow results and pivot,Quick wins matter,1,0,1,0,0,0,0,0,1,0,0,0,1
Luminary Labs,Health Care,2017-2021,AI skincare diagnostics,$12M,Crowded market and cash out,Validate niche early,1,1,1,0,0,0,0,0,0,0,0,0,0
Lumeon,Health Care,2005-2023,Care orchestration,$92M,Slow sales and wind-down,Budget for long runways,0,0,0,1,0,0,1,0,0,0,0,0,0
MediChain,Health Care,2017-2020,Blockchain medical records,$15M,Lost to Epic and crypto crash,Real-world buy-in needed,1,1,1,1,0,0,0,0,0,1,0,0,0
Medicasafe,Health Care,2012-2018,Smart pill dispenser,$5M,High costs and low uptake,Simple beats complex,0,1,0,1,0,0,0,1,0,0,0,0,0
Mindstrong,Health Care,2014-2023,Mental health via data,$160M,No actionable insights,Prove outcomes,1,0,1,1,0,0,1,0,0,0,0,0,1
Modern Health,Health Care,2017-2023,Mental health for employees,$167M,Layoffs and valuation cuts,Growth must match fundamentals,1,0,1,0,0,0,0,0,1,0,0,0,0
Nurx,Health Care,2014-2019,Telehealth birth control,$115M,Reg hurdles and competition,Scale and compliance,1,0,1,0,0,0,0,0,0,0,0,1,0
Olive,Health Care,2012-2023,AI healthcare automation,$856M,Downturn and mismanagement,Adapt to shifts,0,1,0,0,0,0,0,0,1,1,0,0,0
Omada Health,Health Care,2011-2016,Diabetes prevention (early),$550M,Slow payer adoption and pivot,Payers drive success,0,0,0,1,0,0,1,0,0,0,0,0,0
Outset Medical,Health Care,2010-2015,Portable dialysis (early),$200M,Production snags and competition,Flawless execution needed,1,1,1,0,0,0,0,0,1,0,0,0,0
Pear Therapeutics,Health Care,2013-2023,Digital therapeutics,$409M,Reimbursement woes,Therapeutics need economics,1,0,1,1,0,0,1,0,0,0,0,0,0
PillPack,Health Care,2013-2018,Pre-sorted meds delivery,$118M,Profitability woes and sold,Scale or get gobbled,0,0,0,0,1,0,1,0,0,0,0,0,0
Proteus Digital Health,Health Care,2004-2020,Ingestible sensors,$500M,Failed partnership and costs,Don’t bet on one partner,0,1,0,0,0,0,0,0,1,0,0,1,0
Quit Genius,Health Care,2017-2023,Quit smoking app,$77M,Low retention and adoption,Stickiness beyond novelty,0,0,0,1,0,0,1,0,0,0,0,0,0
Scanadu,Health Care,2012-2016,Home vitals device,$35M,Regulatory delays and competition,Speed to market matters,1,0,1,0,0,0,0,0,0,0,0,1,0
Sherpaa,Health Care,2012-2019,Virtual primary care,$22M,Slow uptake and sold,Big clients fast,1,0,1,1,1,0,0,0,0,0,0,0,0
Sprig,Health Care,2013-2017,Healthy meal delivery,$56M,High costs and competition,Need cost advantage,1,1,1,0,0,0,0,0,0,0,0,0,0
StethoCloud,Health Care,2012-2015,Digital stethoscope,$1.5M,Distribution and funding,Mission needs business model,0,1,0,1,0,0,0,1,0,0,0,0,0
Theranos,Health Care,2003-2018,Blood testing tech,$1.4B,Fraud and tech didn’t work,Transparency is key,0,0,0,0,0,0,0,0,0,0,1,0,1
Tinnitracks,Health Care,2013-2020,Tinnitus treatment app,$6M,Limited proof and market,Evidence matters,1,0,1,1,0,0,0,1,0,0,0,0,0
uBiome,Health Care,2012-2019,Microbiome testing,$105M,Fraudulent billing,Ethics are non-negotiable,0,0,0,0,0,0,0,0,0,0,1,0,0
Zeo,Health Care,2008-2013,Sleep tracking headband,$30M,Competition and no viable model,Broad appeal needed,1,0,1,1,0,0,1,1,0,0,0,0,0
