name,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
BoardVitals,Health Care,1600000,operating,USA,NY,New York City,New York,3,2012-01-01,2013-09-26,2015-07-29
Boardvote,Finance|News|Social Media,450000,operating,USA,NY,New York City,New York,2,2012-01-02,2012-03-01,2013-07-01
Boardwalktech,Databases|Enterprise Software,500000,operating,USA,CA,SF Bay Area,Palo Alto,4,2004-01-01,2006-10-01,2014-08-25
Boastify,Business Development|Human Resources|Sales and Marketing|University Students,25000,operating,USA,DC,"Washington, D.C.",Washington,1,2013-06-01,2014-06-01,2014-06-01
Boatbound,E-Commerce|Peer-to-Peer|Services,4460000,operating,USA,CA,SF Bay Area,San Francisco,6,2012-07-01,2012-01-01,2014-04-01
BoatSetter,Adventure Travel|Boating Industry|Collaborative Consumption|Peer-to-Peer|Social Travel|Travel & Tourism,1900000,operating,USA,FL,Miami,Miami,2,2013-09-06,2013-03-13,2014-01-05
BoatsGo,E-Commerce,250000,operating,USA,FL,Miami,Miami,1,2011-01-01,2012-08-23,2012-08-23
Boatyard,Apps|App Stores|Boating Industry,250000,closed,USA,FL,Ft. Lauderdale,Fort Lauderdale,1,2014-12-01,2014-09-15,2014-09-15
Bobber Interactive Corporation,Finance|Software,1400000,operating,USA,WA,Seattle,Seattle,1,2010-01-01,2011-09-20,2011-09-20
Bocada,Software,13500000,operating,USA,WA,Seattle,Kirkland,2,1999-01-01,2005-01-13,2006-07-01
Bocandy,E-Commerce|Subscription Businesses,5000,operating,USA,MI,Detroit,Detroit,1,2014-02-12,2014-02-28,2014-02-28
BodeTree,Analytics|Business Intelligence|Finance|News|Optimization|Small and Medium Businesses,3400000,operating,USA,CO,Denver,Denver,2,2010-11-19,2013-04-17,2014-05-13
Bodshaperz,Dietary Supplements|Health Care|Nutrition,80000,operating,USA,CA,Los Angeles,Los Angeles,1,2014-11-01,2014-08-01,2014-08-01
Body Central,Fashion,18000016,ipo,USA,FL,Jacksonville,Jacksonville,1,1973-01-01,2014-07-14,2014-07-14
Body Labs,3D Technology|Big Data|Business Analytics|Developer APIs,14299999,operating,USA,NY,New York City,New York,3,2013-03-01,2014-11-13,2015-11-03
BodyArmor,Fruit,20000000,operating,USA,CA,Los Angeles,Beverly Hills,1,2011-01-01,2015-08-12,2015-08-12
BodyClocks Australia,Fitness|Health and Wellness|Lead Generation|Outdoors|Small and Medium Businesses,50000,operating,USA,NY,New York City,New York,2,2013-07-01,2013-01-01,2013-07-01
BodyMedia,Health and Wellness|Wearables,27800000,acquired,USA,PA,Pittsburgh,Pittsburgh,6,1999-01-01,2003-06-11,2012-05-23
Bodyport,Fitness|Health and Wellness|Medical,120000,operating,USA,CA,SF Bay Area,San Francisco,1,2014-09-01,2015-08-18,2015-08-18
Snapsheet,Mobile,11250000,operating,USA,IL,Chicago,Chicago,3,2010-01-01,2011-09-01,2013-12-04
BogoDine,Consumer Goods,60000,operating,USA,MI,Grand Rapids,Grand Rapids,1,2013-01-01,2015-06-25,2015-06-25
Bohemian Guitars,Music,279233,operating,USA,GA,Atlanta,Atlanta,3,2012-05-01,2013-02-22,2014-07-29
Boingo Wireless,Software|Telecommunications,125000000,ipo,USA,CA,Los Angeles,Los Angeles,3,2001-01-01,2003-10-10,2014-12-01
"Boku, Inc.",Mobile|Mobile Payments|Payments,73000000,acquired,USA,CA,SF Bay Area,San Francisco,5,2009-01-01,2008-10-01,2012-03-15
BOLD Guidance,Colleges|Education|SaaS|Software,739000,operating,USA,OH,Cleveland,Cleveland,3,2012-09-01,2013-06-01,2014-06-09
Bold Technologies,Software,500000,operating,USA,CO,Colorado Springs,Colorado Springs,1,1981-01-01,2012-06-15,2012-06-15
BoldIQ,Business Intelligence|Optimization|Real Time,7646324,operating,USA,WA,Seattle,Seattle,2,2008-01-01,2010-11-16,2013-08-23
Boll & Branch,E-Commerce|Home & Garden|Organic|Textiles,500000,operating,USA,NJ,Newark,Chatham,1,2013-02-22,2013-02-20,2013-02-20
Bollente Companies,New Technologies,3072999,operating,USA,AZ,Phoenix,Scottsdale,1,2009-12-03,2015-01-16,2015-01-16
Boloco,Restaurants,10000000,operating,USA,MA,Boston,Boston,2,1997-02-24,2007-07-09,2011-01-13
Bolster,Curated Web|Financial Services|Home Renovation|Insurance,750000,operating,USA,NY,New York City,New York,1,2012-01-03,2012-01-03,2012-01-03
Bolstr,Finance Technology|Small and Medium Businesses,2325000,operating,USA,IL,Chicago,Chicago,2,2011-01-01,2013-03-13,2015-01-28
Bolt,Venture Capital,3900000,operating,USA,MA,Boston,Boston,1,2013-02-01,2013-02-20,2013-02-20
BOLT Solutions,Finance|FinTech,29786274,operating,USA,NY,New York City,New York,3,2000-01-01,2004-09-01,2009-10-28
Bolt Threads,Consumer Goods|Fashion|Manufacturing,39999999,operating,USA,CA,SF Bay Area,Emeryville,2,2009-08-01,2014-11-22,2015-06-04
BombBomb,Games,500000,operating,USA,CO,Colorado Springs,Colorado Springs,1,2006-10-01,2013-05-30,2013-05-30
Bomboard,Recreation|Sports,1486000,operating,USA,WI,Milwaukee,Whitewater,1,2007-01-01,2014-01-01,2014-01-01
Bomedus,Medical,2656672.85376256,operating,USA,GA,GA - Other,Germany,1,2011-01-01,2015-11-25,2015-11-25
Bomgar,Customer Service|Customer Support Tools|Meeting Software|Software,11000000,closed,USA,MS,Jackson,Ridgeland,3,2003-09-01,2005-10-17,2014-05-02
Bon-Bon Crepes of America,Hospitality,3500,operating,USA,FL,Miami,Aventura,1,2014-01-21,2014-01-21,2014-01-21
Bonafide,Bitcoin,950000,operating,USA,NY,"Rochester, New York",Rochester,3,2013-01-01,2014-01-30,2015-02-02
Bonanza,Art|Beauty|Collectibles|E-Commerce|Fashion|Marketplaces|Online Shopping|Shopping|Social Buying|Textbooks,1000000,operating,USA,WA,Seattle,Seattle,1,2008-09-01,2010-04-26,2010-04-26
BOND,Direct Marketing|E-Commerce|Marketing Automation|Mobile Commerce|Personalization|Professional Services|SaaS,1000000,operating,USA,NY,New York City,New York,1,2013-10-08,2014-04-01,2014-04-01
Bond Street,Finance|FinTech,112200000,operating,USA,NY,New York City,New York,4,2013-10-29,2014-02-20,2015-06-18
BONDS.COM,Finance,23100000,acquired,USA,NY,New York City,New York,2,2013-04-01,2011-03-01,2011-12-05
Bondsy,Curated Web|Finance|Peer-to-Peer|Social Commerce|Social Network Media,754466,operating,USA,NY,New York City,Brooklyn,2,2011-06-09,2012-05-13,2012-07-01
Bone Biologics,Biotechnology|Health Care|Medical,2000000,operating,USA,NJ,Newark,Edison,1,2004-01-01,2015-05-07,2015-05-07
Bonfire.com,Advertising|Design|Local Advertising|Search|Search Marketing|Social Media,500000,operating,USA,CA,Los Angeles,Santa Monica,2,2012-02-01,2012-07-01,2013-02-01
Bonfyre,Enterprise Software|Events|Messaging|Mobile|Photo Sharing|Private Social Networking|SaaS,2980000,operating,USA,MO,St. Louis,St Louis,4,2012-10-01,2012-01-01,2014-04-23
Bongiovi Medical & Health Technologies,Hardware + Software,5257545,operating,USA,FL,FL - Other,Port Saint Lucie,2,2012-01-01,2012-03-28,2014-08-22
Boni,Content|Location Based Services|Mobile|Navigation|Proximity Internet|Retail,1000000,operating,USA,IL,Chicago,Chicago,1,2011-09-13,2013-01-01,2013-01-01
Bonobos,E-Commerce|Fashion|Retail|Shoes,127649865,operating,USA,NY,New York City,New York,7,2007-06-01,2008-09-01,2014-07-02
Bonsai AI,Application Platforms|Artificial Intelligence|Developer Tools|Development Platforms|EdTech|Operating Systems,2520000,operating,USA,CA,SF Bay Area,Berkeley,3,2014-02-18,2014-04-01,2015-04-03
Bonusly,Employment|Enterprises|Enterprise Software|Human Resources|Peer-to-Peer,2000000,operating,USA,NY,New York City,Brooklyn,2,2012-06-01,2014-12-02,2015-11-22
Book Buyback,Colleges|E-Commerce|Textbooks,1000000,operating,USA,UT,Salt Lake City,Sandy,1,2010-09-10,2010-09-10,2010-09-10
Book of Odds,Big Data Analytics|Content|Curated Web|Education,2000000,operating,USA,MA,Boston,Boston,1,2006-01-01,2010-01-29,2010-01-29
Book&Table,All Students|Education|Marketplaces|Tutoring,18000,operating,USA,NY,New York City,New York,1,2013-07-29,2014-02-10,2014-02-10
bookacoach,E-Commerce|Event Management|Online Scheduling|SaaS|Sports,500000,operating,USA,IN,Indianapolis,Indianapolis,2,2012-08-03,2012-08-31,2014-01-03
BookaLokal,Collaborative Consumption|Hospitality|Restaurants|Travel,569000,operating,USA,NY,New York City,New York,4,2012-11-16,2013-05-01,2015-01-20
BookBag,Education|Mobile|Textbooks,10000,operating,USA,CA,Sacramento Valley,Chico,1,2012-04-07,2012-12-10,2012-12-10
BookBottles,Event Management|Events|Software,40000,operating,USA,MN,Minneapolis,Minneapolis,1,2011-08-01,2012-02-09,2012-02-09
BookBub,E-Books|Publishing,10800000,operating,USA,MA,Boston,Cambridge,2,2012-01-01,2014-05-01,2015-05-19
Booker,Enterprises|Group Buying|Internet Marketing|Local Advertising|Mobile|SaaS|Social Commerce|Software|Web Development,77000000,operating,USA,NY,New York City,New York,3,2010-10-01,2011-10-19,2015-03-03
BookFresh,Curated Web,1500000,acquired,USA,CA,SF Bay Area,San Francisco,3,2007-01-01,2008-08-19,2012-03-01
Bookigee,Analytics|Ediscovery|Internet|Mobile|Publishing|Textbooks|Writers,637500,operating,USA,FL,Miami,Miami,2,2010-10-01,2012-03-27,2012-10-23
Dashbell,Hotels|Online Travel|SaaS|Vacation Rentals,978000,operating,USA,MA,Boston,Boston,4,2011-07-18,2012-08-15,2014-01-15
BookingPal,Leisure|SaaS|Travel|Vacation Rentals,6509999,operating,USA,CA,Anaheim,Irvine,2,2013-08-24,2013-08-13,2015-02-19
BookKeeping Express,Accounting|Business Services|Finance Technology|Financial Services,5800000,operating,USA,NE,NE - Other,Virginia,1,1984-01-01,2015-03-03,2015-03-03
Booklr,Analytics|E-Books|Publishing|Textbooks|Writers,500000,acquired,USA,NY,New York City,New York,1,2010-01-01,2011-01-01,2011-01-01
BookShout,EBooks|Internet|Publishing,8000000,operating,USA,TX,Dallas,Plano,2,2010-01-01,2011-01-01,2013-04-25
Booksy,Health and Wellness|Marketplaces|Mobile Commerce,1500000,operating,USA,DE,"Wilmington, Delaware",Wilmington,1,2013-03-04,2013-03-01,2013-03-01
BookThatDoc,Health Care|Medical|Mobile Devices,5700000,operating,USA,FL,Orlando,Orlando,3,2012-01-01,2011-08-01,2014-08-26
BookTour,Databases|Search,350000,closed,USA,CA,CA - Other,Lucerne Valley,1,2009-01-01,2009-04-17,2009-04-17
Booktrack,EdTech|Education|Entertainment|Software|Technology|Textbooks,10000000,operating,USA,CA,SF Bay Area,San Francisco,3,2010-01-01,2012-12-18,2015-07-21
Booktrope,E-Commerce|Publishing,720000,operating,USA,WA,Seattle,Seattle,3,2010-01-01,2013-12-01,2015-04-30
BOOM! Entertainment,Comics|Entertainment|Graphics,2184267,operating,USA,CA,Los Angeles,Los Angeles,2,2005-06-01,2008-02-21,2009-06-16
Boom Shakalaka,Fantasy Sports|Mobile|Mobile Games|Sports,1250000,operating,USA,NY,New York City,New York,1,2014-12-01,2015-09-04,2015-09-04
Boomalang,Audio|Communications Infrastructure|Language Learning,40000,operating,USA,TN,Nashville,Nashville,2,2014-05-01,2014-05-01,2015-02-10
BoomBoom Prints,Artists Globally|Curated Web|Families|Mass Customization,400000,operating,USA,MN,Minneapolis,Minneapolis,1,2012-02-01,2014-09-14,2014-09-14
Boombotix,Consumer Electronics|Gadget|Hardware|Hardware + Software|Mobile,4000000,operating,USA,CA,SF Bay Area,San Francisco,2,2009-04-01,2012-07-03,2014-01-30
BoomboxFM,Digital Media|Music|Music Services,50000,operating,USA,NC,Raleigh,Raleigh,1,2014-03-15,2015-03-06,2015-03-06
Boomdizzle Networks,Collaboration|Curated Web|Music|Technology,300000,operating,USA,CA,Los Angeles,Los Angeles,1,2008-09-01,2008-04-01,2008-04-01
Boomerang Commerce,Analytics|E-Commerce|Internet|Retail,8500000,operating,USA,CA,SF Bay Area,Mountain View,1,2012-07-15,2014-07-16,2014-07-16
"Boomerang Financial, inc.",Financial Services|P2P Money Transfer|Payments,250000,operating,USA,CA,Anaheim,Orange,1,2014-12-01,2014-12-01,2014-12-01
Boomi,Cloud Computing|Enterprise Software|IaaS|SaaS,4900000,acquired,USA,PA,Philadelphia,Berwyn,2,2000-03-01,2002-01-01,2008-07-01
BOOMiO Music,Apps,2214805,operating,USA,WA,Seattle,Seattle,2,2014-01-01,2015-03-01,2015-09-10
Boomr,B2B|Mobile|SaaS|Small and Medium Businesses|Software,135000,operating,USA,CA,SF Bay Area,San Francisco,1,2013-09-01,2012-12-20,2012-12-20
Boomrat,Blogging Platforms|Curated Web|Ediscovery|Music|Video,310000,operating,USA,CA,Los Angeles,Los Angeles,1,2012-07-01,2013-05-15,2013-05-15
Boomset,Event Management|Events|Mobile,151000,operating,USA,NY,New York City,New York,3,2011-02-14,2012-04-05,2012-12-26
Boomtime,Internet,800000,operating,USA,CA,SF Bay Area,San Francisco,1,2006-01-01,2014-12-23,2014-12-23
BoomTown,Real Estate|Sales and Marketing|Software|Technology,20100000,operating,USA,SC,"Charleston, South Carolina",Charleston,1,2006-01-01,2014-09-05,2014-09-05
Boomtown!,Business Services|Tech Field Support,8032882,operating,USA,CA,SF Bay Area,Belvedere Tiburon,3,2014-02-01,2014-01-01,2015-07-09
boomtrain,Email Marketing|Mobile|Personalization|Software,13966279,operating,USA,CA,SF Bay Area,San Francisco,3,2012-06-01,2012-11-01,2015-10-13
BoomWriter Media,Collaboration|Digital Media|EdTech|Publishing|Social Media,900000,operating,USA,MA,Boston,Cambridge,1,2010-01-01,2014-11-01,2014-11-01
Boon,College Recruiting|Human Resources|Recruiting|Social Media|Social Network Media|Social Recruiting,300304,operating,USA,CA,Los Angeles,Culver City,4,2014-06-05,2014-11-04,2015-12-01
Boonle,Freelancers|Internet,100000,operating,USA,NY,"Rochester, New York",Rochester,1,2014-09-01,2014-11-25,2014-11-25
Boonty,Games|Video Games,10000000,acquired,USA,NY,New York City,New York,1,2001-03-01,2005-07-07,2005-07-07
Booshaka,Advertising|Marketing Automation,3000000,acquired,USA,CA,SF Bay Area,Redwood City,2,2012-01-01,2012-07-25,2014-09-01
Boost,Loyalty Programs|Mobile|Payments|Social Media,200000,operating,USA,CA,Los Angeles,Los Angeles,1,2014-02-16,2015-05-01,2015-05-01
Boostable,Advertising,3222000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-11-01,2014-01-15,2014-10-22
Boost Media,Advertising|Crowdsourcing|Optimization|Semantic Search,31990000,operating,USA,CA,SF Bay Area,San Francisco,6,2009-01-01,2011-03-14,2014-11-18
Booster,Agriculture,215000,operating,USA,NY,New York City,New York,2,2014-09-14,2014-09-14,2015-09-15
Booster Fuels,Transportation,4112016,operating,USA,WA,Seattle,Seattle,3,2014-01-01,2015-05-28,2015-07-02
Boosterville,K-12 Education|Mobile|Nonprofits|Payments|Social + Mobile + Local,30000,operating,USA,TN,Memphis,Memphis,3,2013-03-15,2013-02-01,2015-01-01
BoostUp,Automotive|CRM|Crowdfunding|Finance|Incentives|Lead Generation|Real Estate,1000000,operating,USA,MI,Detroit,Detroit,2,2013-01-01,2013-10-23,2015-04-22
BoostWorks,Services,9000000,operating,USA,CA,SF Bay Area,San Francisco,1,1989-01-01,2003-03-04,2003-03-04
Booyah,Discounts|Entertainment|Games|Gps|iPhone|iPod Touch|Location Based Services|MMO Games|Mobile|Mobile Games|Online Reservations|Social Games,59500000,closed,USA,CA,SF Bay Area,San Francisco,4,2008-08-01,2008-04-30,2013-03-28
bop.fm,Music,2000000,closed,USA,CA,SF Bay Area,San Francisco,2,2013-01-01,2013-12-01,2014-07-09
Border Stylo,Software,27520000,operating,USA,CA,Los Angeles,Los Angeles,3,2008-01-01,2010-04-07,2011-08-11
Borderfree,Business Services|Credit Cards|E-Commerce|Online Shopping,16400000,acquired,USA,NY,New York City,New York,3,1999-01-01,2001-10-04,2012-07-06
BorderJump,E-Commerce,735000,operating,USA,TN,Nashville,Nashville,5,2008-01-01,2012-06-01,2014-02-12
Borders Group,E-Commerce,25000000,operating,USA,MI,Detroit,Ann Arbor,1,1971-01-01,2010-05-13,2010-05-13
Boreal Genomics,Analytics|Biotechnology,24499999,operating,USA,CA,SF Bay Area,Los Altos,2,2007-01-01,2010-10-01,2013-10-04
"Borrowed & Blue, Inc.",Internet|Photo Sharing|Social Media,3100000,closed,USA,VA,"Washington, D.C.",Charlottesville,1,2011-10-17,2015-06-05,2015-06-05
Bossa Nova Robotics Inc.,Cloud Computing|Consumer Electronics|Robotics,9111326,operating,USA,PA,Pittsburgh,Pittsburgh,1,2005-01-01,2015-08-05,2015-08-05
Bosse Tools,Home & Garden|Manufacturing,350000,operating,USA,AZ,Phoenix,Scottsdale,2,2012-05-01,2013-12-01,2014-08-04
BostInno,Curated Web|Journalism|Media|News,1300000,operating,USA,MA,Boston,Boston,1,2011-01-01,2011-06-24,2011-06-24
Boston Biomedical,Biotechnology,2000000,acquired,USA,MA,Boston,Cambridge,1,2007-01-01,2010-06-16,2010-06-16
Boston Boot,Fashion,248000,operating,USA,MA,Boston,Boston,1,2013-01-01,2013-12-05,2013-12-05
Boston Engineering,Design,200000,operating,USA,MA,Boston,Waltham,1,1995-01-01,2014-05-27,2014-05-27
Boston Harbor Distillery,Craft Beer,1500000,operating,USA,MA,Boston,Boston,1,2012-06-06,2014-09-08,2014-09-08
Boston Heart Diagnostics,Biotechnology|Health and Wellness|Medical,10286000,acquired,USA,MA,Boston,Framingham,3,2007-01-01,2009-03-23,2010-09-21
Boston Logic,Software,457048,closed,USA,MA,Boston,Boston,1,2004-01-01,2014-02-05,2014-02-05
Boston Out-Patient Surigal Suites,Biotechnology,160886,operating,USA,MA,Boston,Waltham,1,2003-01-01,2009-05-26,2009-05-26
Boston Technologies,Brokers|Software|Trading,3225000,operating,USA,MA,Boston,Boston,2,2007-01-01,2011-06-09,2011-06-22
Boston Therapeutics,Biotechnology,2000000,operating,USA,NH,"Manchester, New Hampshire",Manchester,1,2009-01-01,2013-08-07,2013-08-07
Boston University,Education,7000000,operating,USA,MA,Boston,Boston,2,2014-01-01,2010-11-03,2014-04-29
Boston Power,Batteries|Clean Technology|Technology,370600000,operating,USA,MA,Worcester,Westborough,9,2005-01-01,2006-11-06,2015-02-02
Botanic Springs,E-Commerce|Television,175000,operating,USA,CA,Anaheim,La Mirada,1,2012-06-15,2014-11-16,2014-11-16
Botlink,Drones|Embedded Hardware and Software|Hardware + Software|Software,5541500,operating,USA,ND,Fargo,Fargo,3,2014-03-05,2014-05-01,2015-06-03
Bottle,Apps|Recreation|Wine And Spirits,250000,operating,USA,NY,New York City,New York,1,2013-03-01,2013-04-01,2013-04-01
Digital Dandelion,Android|Curated Web|Facebook Applications|iPhone|Mobile,25000,closed,USA,CA,Los Angeles,Los Angeles,1,2008-10-01,2008-10-15,2008-10-15
Bottlenose,Analytics|Big Data|Ediscovery|Real Time|Search|Social Media|Twitter Applications|Video Streaming|Web Development,35200000,operating,USA,CA,Los Angeles,Los Angeles,7,2010-12-01,2012-10-01,2015-02-09
Bottleshake,Software,57500,operating,USA,CA,SF Bay Area,San Francisco,1,2013-06-01,2015-01-28,2015-01-28
BottlesTonight,Apps|Marketplaces|Mobile,135000,operating,USA,CA,SF Bay Area,San Francisco,1,2013-10-01,2015-05-15,2015-05-15
Bottomline Technologies,Software,6260000,ipo,USA,NH,Portsmouth,Portsmouth,2,1989-01-01,2002-09-13,2011-12-05
Boulder Imaging,Games,4850000,operating,USA,CO,Denver,Louisville,4,1994-01-01,2011-05-16,2014-05-21
Boulder Ionics,Manufacturing,4800000,operating,USA,CO,Denver,Arvada,2,2010-01-01,2012-04-27,2013-11-19
Boulder Wind Power,Clean Technology,43000000,operating,USA,CO,Denver,Boulder,2,2009-01-01,2011-02-03,2011-09-19
Bounce Exchange,Enterprises|Enterprise Software|SaaS,7850000,operating,USA,NY,New York City,New York,3,2010-04-01,2013-06-24,2015-08-10
bounce.io,Advertising|Email|Security,6957993,operating,USA,CO,Denver,Louisville,3,2013-01-01,2013-04-01,2015-04-24
BounceChat App,Apps|Chat|Social Network Media,1200000,operating,USA,CA,SF Bay Area,Los Gatos,2,2014-04-27,2014-10-01,2015-11-21
Boundary,Application Performance Monitoring|Cloud Computing|Enterprise Software,41100000,operating,USA,CA,SF Bay Area,Mountain View,4,2010-12-01,2011-11-15,2014-04-03
BoundaryMedical,Biotechnology,1250000,operating,USA,MN,Minneapolis,Minnetonka,1,2001-01-01,2009-05-26,2009-05-26
Boundless,Education,9700000,acquired,USA,MA,Boston,Boston,2,2012-04-01,2011-04-28,2012-04-05
Boundless Network,Advertising,12000000,acquired,USA,TX,Austin,Austin,4,2005-01-01,2007-01-01,2011-02-09
"Boundless Spatial, Inc.",Collaboration|Software,5255000,operating,USA,NY,New York City,New York,2,2012-11-30,2013-05-15,2014-03-24
Bountii,Search|Shopping|Venture Capital,15000,operating,USA,CA,SF Bay Area,Palo Alto,1,2007-01-01,2007-06-01,2007-06-01
BountyJobs,Curated Web|Human Resources|Marketplaces|Recruiting,29805235,operating,USA,NY,New York City,New York,5,2006-11-14,2006-01-01,2013-10-21
Bountysource,Crowdfunding|Enterprise Software|Open Source,1100000,operating,USA,CA,SF Bay Area,San Francisco,1,2012-08-22,2013-07-17,2013-07-17
Bourbon & Boots,E-Commerce|Marketplaces,520000,operating,USA,AR,Little Rock,North Little Rock,3,2012-01-01,2013-02-06,2013-10-08
Boutiika,Bridging Online and Offline|Location Based Services|Payments|Point of Sale|Retail Technology|SaaS|Shopping,75000,operating,USA,CA,SF Bay Area,San Francisco,1,2011-10-14,2015-07-20,2015-07-20
Boutique Window,Curated Web,650000,operating,USA,NE,Omaha,Lincoln,1,2012-01-01,2013-06-04,2013-06-04
Bovie Medical,Health Care,10000002,ipo,USA,FL,Tampa,Clearwater,2,1970-01-01,2010-05-07,2013-12-17
Bow & Drape,Fashion,1200000,operating,USA,MA,Boston,Boston,1,2012-01-01,2014-01-30,2014-01-30
Bowery,Enterprises|Software,1550000,operating,USA,NY,New York City,New York,2,2013-01-01,2014-02-01,2014-10-21
Box,Cloud Computing|File Sharing|Flash Storage|SaaS|Storage|Web Hosting,558950000,ipo,USA,CA,SF Bay Area,Los Altos,11,2005-01-01,2005-09-01,2014-07-01
Box Jump,Entertainment,1000,operating,USA,CA,Los Angeles,Los Angeles,1,2013-06-13,2013-11-04,2013-11-04
Boxbe,Email|Messaging|Social Media,1500000,acquired,USA,CA,SF Bay Area,San Francisco,1,2005-12-16,2007-01-09,2007-01-09
"Boxbee, Inc.",Logistics|Storage,7300000,operating,USA,NY,New York City,Brooklyn,3,2012-10-01,2013-05-01,2014-12-16
BoxCast,Photography,250000,operating,USA,OH,Cleveland,Cleveland,1,2009-01-01,2013-07-01,2013-07-01
BoxCat,Games|Mobile,250000,operating,USA,CA,Los Angeles,San Gabriel,1,2012-03-27,2012-01-18,2012-01-18
Boxed,Apps|Mobile|Mobile Commerce|Mobile Shopping|Shopping|Software|Wholesale,32600000,operating,USA,NJ,Newark,Edison,3,2013-06-01,2013-08-22,2015-01-14
Boxer,Messaging,3000000,acquired,USA,TX,Austin,Austin,1,2012-01-01,2013-10-16,2013-10-16
Boxfish,Analytics|Big Data|Content|Real Time|Search|Software|Television,10000000,operating,USA,CA,SF Bay Area,Palo Alto,2,2011-01-01,2011-07-30,2014-03-17
BoxFox,E-Commerce,94000,operating,USA,IN,Indianapolis,Indianapolis,2,2013-01-01,2013-08-23,2015-07-08
Boxstar Media,Advertising,611000,operating,USA,TX,Dallas,Dallas,1,2011-01-01,2011-09-01,2011-09-01
BoxTone,Android|Enterprise Software|iOS|iPad|iPhone|Mobile|Mobile Devices|Telecommunications,13514000,acquired,USA,MD,Baltimore,Columbia,4,2005-01-01,2009-08-31,2012-03-28
BOXX Technologies,Manufacturing,100000,operating,USA,TX,Austin,Austin,1,1996-01-01,2011-04-12,2011-04-12
BPG-Werks,Automotive|Clean Technology|Electric Vehicles|Sports,1700000,operating,USA,MA,Boston,Cambridge,2,2009-01-01,2009-01-01,2010-06-01
BPL Global,Internet|Services|Software,81299969,acquired,USA,PA,Pittsburgh,Sewickley,6,2004-01-01,2007-02-15,2012-12-06
BrabbleTV.com LLC,Advertising|Mobile|Social Media,780500,operating,USA,NY,New York City,New York,1,2011-01-01,2013-07-11,2013-07-11
Brabeion Software,Software,10100000,acquired,USA,VA,"Washington, D.C.",Reston,2,1990-01-01,2005-04-26,2006-12-04
Bracketr,Analytics|Brand Marketing|Sales and Marketing,25000,operating,USA,PA,Philadelphia,Wayne,1,2014-05-15,2014-06-15,2014-06-15
Braclet,Analytics,382500,operating,USA,TX,Houston,Houston,5,2011-01-01,2012-02-13,2015-06-01
Bradford Networks,Security,14000000,operating,USA,NH,"Manchester, New Hampshire",Concord,4,1999-01-01,2006-08-21,2012-05-14
Bragg Peak Systems,Biotechnology,2400000,operating,USA,AL,Huntsville,Huntsville,1,2010-01-01,2011-07-29,2011-07-29
Brain Parade,Software,840000,operating,USA,CT,Hartford,Stamford,3,2010-01-01,2014-02-20,2014-12-03
Brain Sentry,Hardware + Software,1254000,operating,USA,MD,"Washington, D.C.",Bethesda,3,2011-01-01,2012-04-05,2014-07-09
Brain Synergy Institute,Biotechnology,6575802,operating,USA,TX,Dallas,Irving,5,2012-01-01,2013-03-24,2015-05-07
Brain Tunnelgenix Technologies,Biotechnology,2563168,operating,USA,CT,Hartford,Bridgeport,3,2006-01-01,2010-04-16,2013-09-17
"Brain4Net, Inc.",Networking|Software|Virtualization,300000,operating,USA,MA,Boston,Cambridge,1,2015-03-01,2015-04-01,2015-04-01
Brainceuticals,Biotechnology,249506,operating,USA,TX,Dallas,Dallas,1,2009-01-01,2010-09-30,2010-09-30
BrainCheck,Health and Wellness,745000,operating,USA,TX,Houston,Houston,2,2014-01-01,2015-03-09,2015-08-24
Brainly,All Students|Education,9500000,operating,USA,NY,New York City,New York,2,2009-01-01,2012-09-13,2014-10-14
Brainpark,Collaboration|CRM|Enterprises|Enterprise Software|Networking|Reviews and Recommendations|SaaS|Social Business|Software,3700000,operating,USA,CA,SF Bay Area,Alamo,2,2007-01-01,2009-07-08,2010-09-24
BrainRush,EdTech|Education,875000,operating,USA,CA,Los Angeles,Santa Monica,1,2012-10-01,2012-10-15,2012-10-15
Brainscape,Education,2000000,operating,USA,NY,New York City,New York,2,2011-07-01,2013-07-01,2014-10-01
BrainScope Company,Biotechnology,36113750,operating,USA,MD,"Washington, D.C.",Bethesda,10,1990-01-01,2009-07-07,2015-09-03
Brainshark,Business Services|Sales and Marketing|Training,20900000,operating,USA,MA,Boston,Waltham,2,1999-01-01,2000-09-04,2005-06-13
Brainstage,Bioinformatics,2200000,operating,USA,PA,Pittsburgh,Pittsburgh,1,2007-01-01,2015-03-26,2015-03-26
"BrainStorm, Inc.",Information Technology|SaaS|Training,6400000,operating,USA,UT,Salt Lake City,American Fork,1,1995-01-01,2015-12-03,2015-12-03
BrainStorm Cell Therapeutics,Biotechnology,18139599,ipo,USA,NY,New York City,New York,5,2004-01-01,2012-07-27,2014-07-24
Braintree,Accounting|Billing|Credit Cards|Payments|Software,69000000,acquired,USA,IL,Chicago,Chicago,2,2007-10-01,2011-06-29,2012-09-17
BrakeQuotes.com,Automotive,50000,operating,USA,FL,Fort Myers,Sanibel,1,2014-02-17,2014-02-01,2014-02-01
Bramasol,Software,9050000,operating,USA,CA,SF Bay Area,South San Francisco,14,2003-01-01,2009-05-20,2013-02-25
