company,funding_date,funding_amount_usd,investor
"Wright, Stephens and Jensen",2025-07-05,148932000,Y Combinator
"Hansen, Johnson and Maldonado",2025-07-05,271594000,Andreessen Horowitz
Mason-Williams,2025-07-04,147121000,Tiger Global
"Mcbride, Foster and Lucero",2025-07-04,1030626000,Index Ventures
"Collins, Powell and Conway",2025-07-04,2209505000,Accel
"Miller, Yu and Best",2025-07-04,604664000,Sequoia
Park Inc,2025-07-04,362242000,Tiger Global
Smith-Taylor,2025-07-04,1009041000,Index Ventures
Franco PLC,2025-07-04,492808000,Andreessen Horowitz
Kim-Mckinney,2025-07-04,188809000,Accel
"Huff, Thompson and Giles",2025-07-04,3154366000,Index Ventures
Hines PLC,2025-07-04,273651000,Tiger Global
Holt-Richards,2025-07-04,288647000,Accel
"Smith, Ware and Taylor",2025-07-04,176737000,Y Combinator
Carpenter Inc,2025-07-04,1382148000,SoftBank
"Jackson, Vaughan and Vargas",2025-07-03,89662000,Andreessen Horowitz
Hernandez-Coleman,2025-07-03,74745000,Sequoia
Black-Koch,2025-07-03,1728492000,Andreessen Horowitz
Huff-Smith,2025-07-03,840274000,Sequoia
"Yates, Wright and Pitts",2025-07-03,566330000,Sequoia
Olson Group,2025-07-03,1295907000,Accel
Hayes and Sons,2025-07-03,95903000,Y Combinator
Hill-Hammond,2025-07-03,467266000,Andreessen Horowitz
Taylor-Adams,2025-07-03,380365000,Sequoia
Griffin Inc,2025-07-03,276403000,SoftBank
Callahan PLC,2025-07-03,1725690000,Andreessen Horowitz
"Beltran, Bradley and Haas",2025-07-03,1471011000,Andreessen Horowitz
"Herrera, Brown and House",2025-07-02,3068474000,Accel
"Rogers, Mckenzie and Brooks",2025-07-02,172524000,Andreessen Horowitz
"Salas, Vang and Blair",2025-07-02,1812356000,Y Combinator
Taylor-Ortiz,2025-07-02,3168597000,Accel
Boyd-Wade,2025-07-02,468778000,SoftBank
"Williams, Perkins and Strong",2025-07-02,373515000,Andreessen Horowitz
Price-Martin,2025-07-02,1895032000,Accel
"Newton, Anderson and Rodriguez",2025-07-02,236502000,Tiger Global
Sandoval and Sons,2025-07-02,315439000,Sequoia
Mendoza PLC,2025-07-02,851407000,Index Ventures
Davis-Taylor,2025-07-02,659965000,Sequoia
"Combs, Cox and Anderson",2025-07-01,666146000,Andreessen Horowitz
Morris-Camacho,2025-07-01,1089319000,Accel
"Rowland, Garza and Peterson",2025-07-01,3424793000,Tiger Global
"Kane, Schneider and Pierce",2025-07-01,740719000,Index Ventures
Spencer-Brown,2025-07-01,221338000,Tiger Global
Craig Inc,2025-07-01,253557000,Sequoia
Montoya-Jones,2025-07-01,61895000,SoftBank
Watson-Johnson,2025-07-01,244104000,Index Ventures
"Wright, Fisher and Gray",2025-07-01,463765000,Y Combinator
"Bennett, Maxwell and Thompson",2025-07-01,135606000,Tiger Global
Lawrence Inc,2025-07-01,162681000,Y Combinator
"Hernandez, Garza and Brown",2025-07-01,617398000,Tiger Global
Hanson Inc,2025-07-01,54330000,Andreessen Horowitz
Mcdonald Group,2025-07-01,1431467000,Andreessen Horowitz
Hubbard Group,2025-07-01,139871000,SoftBank
Gonzalez Ltd,2025-06-30,5635498000,SoftBank
"Smith, Klein and Leon",2025-06-30,98734000,Y Combinator
"Gibbs, Perkins and Smith",2025-06-30,1124963000,Tiger Global
Navarro-Dixon,2025-06-30,46710000,Sequoia
Herman-Pearson,2025-06-30,128536000,Y Combinator
"Black, Mcknight and Price",2025-06-30,896694000,Tiger Global
Lozano-Wheeler,2025-06-30,162386000,Sequoia
Mitchell Ltd,2025-06-30,344475000,SoftBank
"Lowe, Smith and Johnson",2025-06-30,90160000,Tiger Global
Mitchell-Brown,2025-06-30,96917000,Y Combinator
Tran-Melendez,2025-06-30,1482947000,Y Combinator
"Benson, Walker and Stanley",2025-06-30,3233597000,Tiger Global
Price-Bender,2025-06-30,862837000,Index Ventures
Werner Inc,2025-06-29,184742000,Sequoia
Lyons-Nelson,2025-06-29,2302423000,Sequoia
Gordon LLC,2025-06-29,855518000,Tiger Global
Bullock-Arnold,2025-06-29,41626000,Y Combinator
Green and Sons,2025-06-29,162931000,Accel
"Moore, Fuller and Davis",2025-06-29,697010000,SoftBank
"Herrera, Johnson and Nielsen",2025-06-29,153287000,Index Ventures
"Lane, Bender and Braun",2025-06-29,319782000,Andreessen Horowitz
Fox-Smith,2025-06-28,63640000,Y Combinator
Scott-Watkins,2025-06-28,338499000,SoftBank
Carter and Sons,2025-06-28,82996000,Andreessen Horowitz
Davis-Washington,2025-06-28,155717000,Andreessen Horowitz
"Hoffman, Miller and Quinn",2025-06-28,54253000,Accel
Rivera LLC,2025-06-28,87920000,Sequoia
"Pennington, Thornton and Mendoza",2025-06-28,162733000,SoftBank
Garcia-Davis,2025-06-28,3694521000,Andreessen Horowitz
Hernandez Group,2025-06-28,1484495000,Sequoia
Brooks LLC,2025-06-28,282705000,Sequoia
Moreno-Gonzales,2025-06-28,543276000,Index Ventures
Miller Inc,2025-06-28,108137000,Andreessen Horowitz
Higgins and Sons,2025-06-28,240731000,SoftBank
Evans-Myers,2025-06-28,460910000,SoftBank
Davis Ltd,2025-06-28,3246770000,Andreessen Horowitz
Gomez-Ellis,2025-06-28,144890000,Y Combinator
Davis-Chang,2025-06-28,228198000,Andreessen Horowitz
"Galloway, Fischer and Montoya",2025-06-27,46681000,SoftBank
"Hines, Garcia and Johnson",2025-06-27,174564000,Index Ventures
Knight-Rogers,2025-06-27,184023000,Tiger Global
Lloyd-Morgan,2025-06-27,432348000,SoftBank
"Bruce, Flores and Gillespie",2025-06-27,118650000,Accel
"Craig, Rodriguez and Evans",2025-06-27,195362000,Andreessen Horowitz
"Frederick, Woods and Brady",2025-06-27,37958000,Sequoia
Harvey-Herrera,2025-06-27,203075000,Tiger Global
Hampton and Sons,2025-06-27,775334000,Tiger Global
Kelly PLC,2025-06-27,682612000,Tiger Global
"Fisher, Perez and Webb",2025-06-27,406734000,Andreessen Horowitz
Daniels and Sons,2025-06-27,376286000,Accel
Wilson-Parker,2025-06-27,446698000,Y Combinator
Hawkins-Walker,2025-06-27,319590000,Index Ventures
"Villa, Christensen and Myers",2025-06-27,183178000,Index Ventures
Webb-Graham,2025-06-27,299082000,SoftBank
Haas-Griffith,2025-06-27,46105000,Index Ventures
Williams PLC,2025-06-27,731135000,Tiger Global
Johnston-Black,2025-06-26,578166000,Accel
Roy PLC,2025-06-26,1095114000,Andreessen Horowitz
Brown-Thompson,2025-06-26,764712000,Andreessen Horowitz
Murphy Inc,2025-06-26,257631000,SoftBank
Keith-Patel,2025-06-26,349081000,SoftBank
Mitchell PLC,2025-06-26,680193000,Sequoia
Johnson Ltd,2025-06-26,515938000,Andreessen Horowitz
"Williams, Schmidt and Farmer",2025-06-26,1061366000,Accel
"Wall, Burke and Brown",2025-06-26,2794174000,Sequoia
Lewis Ltd,2025-06-26,411382000,SoftBank
Foster-Ortiz,2025-06-26,206411000,Andreessen Horowitz
Williams Ltd,2025-06-25,330419000,Accel
Sanchez-Parrish,2025-06-25,1041411000,Andreessen Horowitz
"Webb, Harrison and Gonzales",2025-06-25,101002000,Y Combinator
"Gilbert, Brown and Duran",2025-06-25,410880000,Andreessen Horowitz
Johnson-Gilbert,2025-06-25,53994000,Andreessen Horowitz
"Wolfe, Edwards and Williams",2025-06-25,574548000,Sequoia
Tate Inc,2025-06-25,268045000,Accel
"Mitchell, Fuller and Davis",2025-06-25,718224000,Y Combinator
"Cross, Payne and Jones",2025-06-25,3527692000,SoftBank
Chavez-Miller,2025-06-25,791575000,Y Combinator
"Martinez, Baker and Young",2025-06-25,364738000,Andreessen Horowitz
"Williams, Park and Henry",2025-06-25,385876000,Tiger Global
Carpenter LLC,2025-06-25,5192345000,Sequoia
Wood-Ponce,2025-06-25,3622983000,Y Combinator
Rollins Ltd,2025-06-25,2382537000,Sequoia
Ibarra-Davis,2025-06-25,724151000,SoftBank
Jones-Smith,2025-06-25,107404000,Andreessen Horowitz
Harding-Mcfarland,2025-06-25,426448000,SoftBank
Lee-Holt,2025-06-25,309221000,Andreessen Horowitz
"Simpson, Campbell and Powers",2025-06-24,515403000,Index Ventures
Thomas-Perry,2025-06-24,844068000,Y Combinator
"Horn, Hernandez and Reyes",2025-06-24,363268000,Tiger Global
Bernard Group,2025-06-24,314305000,SoftBank
Miller-Cisneros,2025-06-24,189533000,Y Combinator
"Lam, Harper and Martin",2025-06-24,263163000,Sequoia
Rogers LLC,2025-06-24,633274000,Accel
Juarez-Villanueva,2025-06-24,254032000,Index Ventures
"Oliver, Barrera and Williams",2025-06-24,1005812000,Y Combinator
Perry Ltd,2025-06-24,366849000,Accel
Fox and Sons,2025-06-24,813149000,Andreessen Horowitz
Sawyer-Lee,2025-06-24,1475440000,Index Ventures
"Miles, Watkins and Wood",2025-06-24,752874000,Accel
Smith and Sons,2025-06-24,481885000,Tiger Global
"Phillips, Tate and Cole",2025-06-24,424982000,Index Ventures
"Williams, Farley and Flores",2025-06-23,415130000,Y Combinator
"Mills, Carter and Carter",2025-06-23,1421492000,Index Ventures
"Wright, Hall and Wilcox",2025-06-23,1750806000,Accel
"Hale, Hansen and Sanchez",2025-06-23,459343000,Index Ventures
"Osborn, Gill and Dennis",2025-06-23,3605690000,Sequoia
Wallace-Foster,2025-06-23,1034133000,Accel
"Martinez, Baird and Powell",2025-06-23,197070000,Andreessen Horowitz
Edwards-Morales,2025-06-23,235787000,Accel
Fitzgerald Inc,2025-06-23,1062374000,Accel
Erickson-Frost,2025-06-23,777945000,SoftBank
"Vaughn, Dodson and Castro",2025-06-23,778604000,SoftBank
"Gibson, Richards and Allen",2025-06-23,104091000,Tiger Global
"Rios, Miller and Landry",2025-06-23,824061000,Accel
"Ruiz, Hood and Jones",2025-06-23,395097000,Accel
Cox-Greene,2025-06-23,206448000,SoftBank
Fletcher-Rojas,2025-06-22,1318696000,Andreessen Horowitz
"Griffin, Davila and Dixon",2025-06-22,371514000,Accel
"Jacobson, Hernandez and Mcdonald",2025-06-22,314662000,Accel
Johnson-Walters,2025-06-22,241795000,Tiger Global
Ray-Aguilar,2025-06-22,579920000,Andreessen Horowitz
"Perry, Peterson and Blackwell",2025-06-22,182794000,Y Combinator
Roberts-Golden,2025-06-22,181863000,Y Combinator
Love Inc,2025-06-22,109342000,Andreessen Horowitz
"Mcdaniel, Dennis and Wilkinson",2025-06-22,280972000,Tiger Global
Willis Inc,2025-06-22,2243163000,Y Combinator
"Kim, Johnson and Hayes",2025-06-22,235626000,Accel
Harris LLC,2025-06-22,1338066000,SoftBank
Murray-Rosario,2025-06-21,229427000,Sequoia
"Frank, Mcdonald and Morton",2025-06-21,31833000,Sequoia
"Walker, Hayes and Gray",2025-06-21,1379213000,Andreessen Horowitz
"Cox, Mills and Bryant",2025-06-21,23303000,Tiger Global
Garner Ltd,2025-06-21,386295000,Andreessen Horowitz
"Alvarez, Vaughan and Mason",2025-06-21,1043741000,Index Ventures
Weeks PLC,2025-06-21,502435000,Sequoia
"Bradley, Craig and Mayer",2025-06-21,2605749000,Andreessen Horowitz
Hamilton Inc,2025-06-21,743799000,SoftBank
Simmons LLC,2025-06-21,880160000,SoftBank
"Lowery, Jones and Heath",2025-06-21,1167187000,Sequoia
"Carr, Stewart and Hughes",2025-06-21,777800000,Accel
Davis and Sons,2025-06-21,248680000,Y Combinator
Warren-Freeman,2025-06-21,332259000,Y Combinator
Lee PLC,2025-06-20,261357000,Sequoia
"Rojas, Gutierrez and Martin",2025-06-20,484447000,SoftBank
Knight and Sons,2025-06-20,708858000,Accel
Sanders PLC,2025-06-20,295595000,Index Ventures
Norman-Moses,2025-06-20,959066000,Sequoia
Cortez-Carter,2025-06-20,1775796000,Index Ventures
Banks LLC,2025-06-20,150210000,Tiger Global
Wilkinson-Smith,2025-06-20,405925000,Y Combinator
Wilson-Brown,2025-06-20,116597000,Andreessen Horowitz
Burke-Berry,2025-06-20,316448000,Y Combinator
Wiley-Williams,2025-06-20,97802000,Accel
Wood-Nixon,2025-06-20,353890000,Index Ventures
"Thomas, Hubbard and Kennedy",2025-06-20,291186000,Andreessen Horowitz
"Allen, Freeman and Reed",2025-06-20,650426000,Index Ventures
Wilson-Green,2025-06-19,248845000,Andreessen Horowitz
Terry LLC,2025-06-19,49081000,Andreessen Horowitz
Perez PLC,2025-06-19,1343294000,Tiger Global
"Carter, Davila and Owens",2025-06-19,457267000,Accel
Johnson LLC,2025-06-19,584633000,SoftBank
Hicks LLC,2025-06-19,393296000,Accel
Orozco-Nguyen,2025-06-19,1095252000,Sequoia
Stewart and Sons,2025-06-19,56532000,Accel
Lowe-Gordon,2025-06-19,1305385000,SoftBank
Carroll Inc,2025-06-19,836335000,Sequoia
Carter-Johnston,2025-06-18,188895000,Index Ventures
Fuentes-Knight,2025-06-18,222290000,Andreessen Horowitz
Dyer-Coleman,2025-06-18,505028000,Y Combinator
Lara-Pena,2025-06-18,1027829000,SoftBank
Goodwin-Smith,2025-06-18,199914000,Tiger Global
Anderson Inc,2025-06-18,3717768000,SoftBank
Blankenship and Sons,2025-06-18,157476000,Sequoia
Burnett PLC,2025-06-18,4078781000,Y Combinator
"Best, Davis and Liu",2025-06-18,846193000,Sequoia
"Stout, Pruitt and Adams",2025-06-18,653528000,SoftBank
"Woods, Johnston and Huber",2025-06-18,19617000,Andreessen Horowitz
Gomez and Sons,2025-06-18,29541000,Tiger Global
"Rivera, Sanchez and Gibson",2025-06-18,237581000,Index Ventures
Baker and Sons,2025-06-18,77545000,Tiger Global
Weaver-Rodriguez,2025-06-18,856954000,Accel
Perez Inc,2025-06-18,77431000,Accel
Adams-Johnson,2025-06-17,1127020000,SoftBank
Walker-Brown,2025-06-17,85438000,Andreessen Horowitz
Cruz-Moore,2025-06-17,1160846000,Accel
"Brown, Dominguez and Houston",2025-06-17,1219334000,Accel
"Liu, Williams and Mitchell",2025-06-17,872731000,Y Combinator
Bradley-Deleon,2025-06-17,323486000,Index Ventures
Newton-Fisher,2025-06-17,425618000,Andreessen Horowitz
"Valdez, Martin and Thomas",2025-06-17,1061236000,Y Combinator
"Sparks, Mccormick and Meyer",2025-06-17,571759000,Tiger Global
"Lopez, Ward and Carter",2025-06-17,234455000,Andreessen Horowitz
Jones Ltd,2025-06-17,126364000,Y Combinator
Reynolds-Gomez,2025-06-17,310203000,Tiger Global
Brown-Berger,2025-06-17,123633000,Accel
"Tate, Cruz and Holder",2025-06-17,235432000,Sequoia
"Clements, Griffin and Moore",2025-06-16,884187000,Index Ventures
"Combs, Jones and Ware",2025-06-16,1694004000,Tiger Global
"Wang, Garcia and Glover",2025-06-16,712907000,Andreessen Horowitz
"Hines, Murphy and Roberson",2025-06-16,251071000,Tiger Global
Stephens LLC,2025-06-16,614235000,Andreessen Horowitz
Gomez-Perry,2025-06-16,452161000,Andreessen Horowitz
Wade-Valentine,2025-06-16,775630000,SoftBank
"Gonzalez, Wilson and Lee",2025-06-16,355804000,Tiger Global
Cox Group,2025-06-16,868957000,Andreessen Horowitz
Cabrera PLC,2025-06-16,275197000,Y Combinator
"Lynch, Bridges and Wu",2025-06-16,106455000,Sequoia
"Harris, White and Phillips",2025-06-16,805502000,Accel
Jones and Sons,2025-06-16,2135353000,Sequoia
Medina-Moore,2025-06-16,400361000,Tiger Global
"Johnson, Cohen and Thomas",2025-06-16,254534000,Index Ventures
Phillips-Blankenship,2025-06-15,372074000,Y Combinator
"Martinez, Levy and Walker",2025-06-15,205163000,Tiger Global
Riggs LLC,2025-06-15,88221000,Sequoia
"Velazquez, Nunez and Allen",2025-06-15,91708000,Sequoia
"Jefferson, Cooper and Castro",2025-06-15,1337244000,Andreessen Horowitz
Perez and Sons,2025-06-15,838892000,SoftBank
Greer-Smith,2025-06-15,249211000,Y Combinator
"Smith, Garcia and White",2025-06-15,383143000,Tiger Global
"Stevens, Lopez and Baker",2025-06-15,321009000,Y Combinator
"Davis, Molina and Lewis",2025-06-15,805069000,Sequoia
Miller-Cox,2025-06-15,1544622000,Sequoia
Kennedy PLC,2025-06-15,800932000,Tiger Global
"Martin, Warren and Matthews",2025-06-15,160344000,Y Combinator
Riley PLC,2025-06-15,275329000,Andreessen Horowitz
"Barber, Jones and Eaton",2025-06-15,93781000,Sequoia
"Collins, Allen and Ross",2025-06-15,962008000,Tiger Global
Ferrell Inc,2025-06-15,124635000,Andreessen Horowitz
Weber Group,2025-06-15,735855000,Sequoia
"Bradford, Brown and Nelson",2025-06-15,695388000,Index Ventures
Medina-Mcbride,2025-06-15,532954000,Index Ventures
Juarez Ltd,2025-06-14,297681000,SoftBank
"Dunn, Shepherd and Mitchell",2025-06-14,655533000,Index Ventures
Turner-Carroll,2025-06-14,329163000,Index Ventures
Fuller-Perry,2025-06-14,82576000,Sequoia
Clay LLC,2025-06-14,516188000,Accel
Adams-Herrera,2025-06-14,1214913000,SoftBank
Bishop-Smith,2025-06-14,154160000,Accel
Wilson-Combs,2025-06-14,374803000,SoftBank
Collins-Murphy,2025-06-14,4092282000,SoftBank
"Gray, Zimmerman and Martin",2025-06-14,421894000,Index Ventures
Soto Group,2025-06-14,302875000,Index Ventures
Ali-Williams,2025-06-13,907615000,Accel
Griffin LLC,2025-06-13,1263175000,SoftBank
Aguilar-Hopkins,2025-06-13,284962000,Andreessen Horowitz
Pope PLC,2025-06-13,1069084000,Accel
"Suarez, Forbes and Parker",2025-06-13,1678042000,Andreessen Horowitz
"Brooks, Sloan and Lee",2025-06-13,88822000,Andreessen Horowitz
Foley Inc,2025-06-13,823658000,Index Ventures
"Roberts, Salazar and French",2025-06-13,61589000,Accel
"Jackson, Soto and Weaver",2025-06-13,170880000,SoftBank
Young-Jacobs,2025-06-13,662105000,Sequoia
Ochoa-Gutierrez,2025-06-13,173230000,SoftBank
Thompson-Hughes,2025-06-13,1739847000,Y Combinator
Chaney LLC,2025-06-12,4987128000,SoftBank
Richardson-Miller,2025-06-12,574406000,Andreessen Horowitz
"Walker, Lee and Lopez",2025-06-12,62582000,Accel
Patterson PLC,2025-06-12,318512000,Tiger Global
Garcia LLC,2025-06-12,39214000,Sequoia
"Norton, Mccoy and Bautista",2025-06-12,398472000,SoftBank
"Davis, Cooper and Martin",2025-06-12,3226895000,Y Combinator
Lewis-Craig,2025-06-12,595652000,Y Combinator
Jensen PLC,2025-06-12,1712671000,SoftBank
Johnson-Allen,2025-06-12,1282713000,Accel
"Stone, Brown and Robles",2025-06-11,1149627000,Y Combinator
"Jones, Ruiz and Adams",2025-06-11,1680173000,Andreessen Horowitz
Soto-Oliver,2025-06-11,1044312000,SoftBank
"Gibson, Zavala and Deleon",2025-06-11,762435000,Y Combinator
Benton PLC,2025-06-11,339188000,SoftBank
Chang LLC,2025-06-11,205756000,Tiger Global
"Jacobson, Flores and Lewis",2025-06-11,694645000,Index Ventures
Taylor-Duran,2025-06-11,218925000,Index Ventures
"Rice, Campbell and Stanley",2025-06-11,1813173000,Accel
"Wallace, Peters and Henderson",2025-06-11,670021000,Accel
"Adams, Meyer and Acevedo",2025-06-11,319793000,Tiger Global
"White, Garrett and Roberts",2025-06-11,1479097000,Andreessen Horowitz
"Olson, Davis and Oconnor",2025-06-11,668923000,Sequoia
Hicks and Sons,2025-06-11,6350652000,SoftBank
"Lewis, Mcdonald and Barajas",2025-06-11,508410000,Accel
Hughes PLC,2025-06-10,125538000,Index Ventures
Mason LLC,2025-06-10,965629000,Andreessen Horowitz
Rios-Allen,2025-06-10,178447000,Accel
Jenkins LLC,2025-06-10,1138957000,Accel
Dyer-Underwood,2025-06-10,192458000,Sequoia
Barron Ltd,2025-06-10,885591000,Tiger Global
"Johnson, Charles and Miller",2025-06-10,637161000,Andreessen Horowitz
Riley Inc,2025-06-10,13619000,Accel
Zhang-Stokes,2025-06-10,236127000,Index Ventures
Clark Ltd,2025-06-10,65561000,SoftBank
"Arias, Bonilla and Russell",2025-06-10,125568000,SoftBank
"Bruce, Mccarthy and Davis",2025-06-10,1588796000,Y Combinator
Soto-Myers,2025-06-10,727066000,Sequoia
"Bradford, Ramirez and Hudson",2025-06-10,1365730000,Tiger Global
Turner Group,2025-06-10,425908000,Tiger Global
Lee-Gross,2025-06-10,358287000,Tiger Global
Martin Ltd,2025-06-10,497137000,Tiger Global
Hayes Inc,2025-06-10,917005000,Tiger Global
Porter Ltd,2025-06-10,65409000,Y Combinator
Cooper PLC,2025-06-10,564584000,Sequoia
Gonzalez-Tran,2025-06-10,140396000,SoftBank
Richardson Inc,2025-06-10,61633000,Tiger Global
Moreno-Hernandez,2025-06-10,214171000,Accel
Salazar Group,2025-06-09,45029000,Accel
Ibarra and Sons,2025-06-09,867994000,Y Combinator
Shaffer Ltd,2025-06-09,3424746000,SoftBank
Mcknight LLC,2025-06-09,545401000,Accel
"Webb, Payne and Garcia",2025-06-09,273044000,Accel
"Baxter, Hines and Boyle",2025-06-09,1330746000,Andreessen Horowitz
"Wolfe, Jones and Johnson",2025-06-09,229501000,Index Ventures
"Mcdonald, Maxwell and Jackson",2025-06-09,465065000,SoftBank
"Young, Lambert and Johns",2025-06-09,101385000,Andreessen Horowitz
Cervantes-Joseph,2025-06-09,942382000,Andreessen Horowitz
Barry-Castro,2025-06-08,206738000,Andreessen Horowitz
Simmons Group,2025-06-08,671026000,Y Combinator
Williams PLC,2025-06-08,260181000,Andreessen Horowitz
Ford LLC,2025-06-08,1581335000,Sequoia
White-Gillespie,2025-06-08,550244000,Accel
Estrada Group,2025-06-08,2156976000,Index Ventures
"Sanchez, Jones and Wright",2025-06-08,1260125000,Tiger Global
Lee Group,2025-06-08,110358000,Accel
Gregory Inc,2025-06-08,157634000,SoftBank
"Trujillo, Lewis and Reyes",2025-06-07,3244084000,Sequoia
